CustomerID,Recency,Frequency,Monetary,TotalQuantity,ProductDiversity,TransactionCount,AverageOrderValue,BasketSize
12399,119,4,1108.65,1178,47,59,277.16,294.5
12401,303,1,84.3,11,5,5,84.3,11.0
12402,323,1,225.60000000000002,94,11,11,225.6,94.0
12403,50,1,427.7,96,5,5,427.7,96.0
12405,149,1,1710.39,857,54,54,1710.39,857.0
12406,22,2,3415.3,1818,92,105,1707.65,909.0
12407,50,5,1708.12,1416,57,77,341.62,283.2
12408,33,5,2888.55,1409,81,105,577.71,281.8
12409,79,3,11072.67,5551,91,109,3690.89,1850.33
12410,309,2,693.33,211,26,26,346.66,105.5
12412,75,3,1226.88,829,43,61,408.96,276.33
12413,67,3,758.1,286,29,38,252.7,95.33
12414,217,3,562.4100000000001,300,16,18,187.47,100.0
12415,24,21,124914.53,77374,444,714,5948.31,3684.48
12417,3,9,3649.1,1552,158,192,405.46,172.44
12418,113,1,668.58,407,34,34,668.58,407.0
12420,64,1,600.39,345,29,29,600.39,345.0
12421,16,4,807.04,484,32,45,201.76,121.0
12422,96,3,803.5600000000001,370,39,39,267.85,123.33
12423,1,8,1859.31,1339,97,125,232.41,167.38
12424,163,2,1760.96,740,30,30,880.48,370.0
12425,78,1,777.2,496,36,36,777.2,496.0
12426,195,1,582.73,258,30,30,582.73,258.0
12427,22,3,825.8000000000001,533,26,31,275.27,177.67
12428,26,9,7956.46,3536,258,294,884.05,392.89
12429,9,4,3750.4,1557,82,97,937.6,389.25
12430,43,1,256.4,117,11,11,256.4,117.0
12431,36,15,6419.95,2896,163,234,428.0,193.07
12432,43,5,5059.32,1801,107,108,1011.86,360.2
12433,1,7,13375.87,11071,219,420,1910.84,1581.57
12434,85,2,806.14,394,46,50,403.07,197.0
12435,80,2,7829.89,2055,31,36,3914.94,1027.5
12436,100,1,509.01,211,16,16,509.01,211.0
12437,2,18,4951.41,2922,118,199,275.08,162.33
12438,14,2,2906.85,1180,84,98,1453.42,590.0
12441,367,1,173.55,121,11,11,173.55,121.0
12442,3,1,172.06,182,12,12,172.06,182.0
12444,21,5,5005.46,1153,138,176,1001.09,230.6
12445,22,1,133.4,62,4,4,133.4,62.0
12446,58,1,1002.3100000000001,351,57,57,1002.31,351.0
12447,243,1,476.49,190,26,26,476.49,190.0
12448,44,1,449.45,243,22,22,449.45,243.0
12449,22,4,4067.29,1553,118,191,1016.82,388.25
12450,156,2,197.88,128,7,8,98.94,64.0
12451,11,5,9035.52,6575,265,354,1807.1,1315.0
12452,17,2,430.57000000000005,185,21,22,215.29,92.5
12453,134,1,707.09,473,43,43,707.09,473.0
12454,56,1,3528.34,1006,15,15,3528.34,1006.0
12455,73,6,2466.86,2089,85,90,411.14,348.17
12456,44,3,3181.04,1633,105,125,1060.35,544.33
12457,66,7,2363.23,843,53,62,337.6,120.43
12458,71,2,947.4,506,35,38,473.7,253.0
12461,94,2,826.88,287,35,35,413.44,143.5
12462,19,2,1189.59,536,51,62,594.79,268.0
12463,53,4,1344.78,776,65,83,336.2,194.0
12464,10,8,1212.05,112,6,29,151.51,14.0
12465,17,2,742.19,479,46,47,371.1,239.5
12468,188,2,729.54,366,36,38,364.77,183.0
12471,2,30,19788.65,8200,150,459,659.62,273.33
12472,32,7,6572.11,4148,219,339,938.87,592.57
12473,29,5,3928.05,2414,140,167,785.61,482.8
12474,17,18,7324.09,4833,253,422,406.89,268.5
12475,54,1,723.38,535,36,36,723.38,535.0
12476,16,11,6816.42,2408,177,233,619.67,218.91
12477,23,6,13219.74,3653,191,300,2203.29,608.83
12478,4,1,680.99,236,36,36,680.99,236.0
12479,11,1,527.2,385,31,31,527.2,385.0
12480,28,4,3281.63,1707,129,154,820.41,426.75
12481,23,10,5579.82,3294,150,216,557.98,329.4
12483,17,8,2484.98,1110,46,75,310.62,138.75
12484,33,6,4527.32,2187,256,343,754.55,364.5
12488,10,3,1298.66,529,46,55,432.89,176.33
12489,336,1,334.93,105,15,15,334.93,105.0
12490,5,10,5417.93,3064,131,245,541.79,306.4
12491,39,1,460.40000000000003,260,25,26,460.4,260.0
12492,63,2,263.21000000000004,192,19,20,131.61,96.0
12493,166,2,433.74,207,20,22,216.87,103.5
12494,16,7,1246.1,707,63,77,178.01,101.0
12497,82,1,1043.1,1236,14,14,1043.1,1236.0
12498,21,3,403.70000000000005,159,21,23,134.57,53.0
12500,23,11,4257.82,2678,34,61,387.07,243.45
12501,337,1,2169.39,1783,149,149,2169.39,1783.0
12502,96,5,3723.87,820,102,147,744.77,164.0
12504,18,2,482.04999999999995,90,6,9,241.02,45.0
12506,233,1,73.5,23,23,23,73.5,23.0
12507,134,3,1304.81,894,19,21,434.94,298.0
12508,26,2,397.88,271,57,68,198.94,135.5
12509,284,1,176.5,55,7,7,176.5,55.0
12510,143,2,982.5699999999999,353,29,33,491.28,176.5
12512,66,2,132.18,96,31,31,66.09,48.0
12513,113,1,612.29,462,35,35,612.29,462.0
12514,267,1,1017.6800000000001,440,51,51,1017.68,440.0
12515,353,1,383.7,131,16,16,383.7,131.0
12516,78,2,1312.06,875,20,26,656.03,437.5
12517,28,5,2481.6,1361,232,279,496.32,272.2
12518,1,5,2056.89,1318,84,124,411.38,263.6
12519,64,1,330.84000000000003,175,17,17,330.84,175.0
12520,79,5,2634.26,1439,121,152,526.85,287.8
12521,143,1,599.68,309,38,38,599.68,309.0
12522,39,2,192.72,194,11,12,96.36,97.0
12523,19,11,1789.77,865,84,106,162.71,78.64
12524,9,8,4485.72,3699,113,144,560.72,462.38
12526,1,3,1316.66,632,64,71,438.89,210.67
12527,82,3,348.71000000000004,234,18,18,116.24,78.0
12528,9,6,1933.48,756,50,92,322.25,126.0
12530,60,4,1662.28,913,51,66,415.57,228.25
12531,15,1,125.22,45,17,17,125.22,45.0
12532,30,1,349.83000000000004,153,16,16,349.83,153.0
12534,131,1,1089.18,651,63,63,1089.18,651.0
12535,92,2,716.35,219,28,34,358.18,109.5
12536,43,3,12601.830000000002,2803,260,261,4200.61,934.33
12538,29,1,363.95,191,21,21,363.95,191.0
12539,22,4,5568.35,2067,157,273,1392.09,516.75
12540,20,17,13400.24,6685,277,478,788.25,393.24
12541,30,3,981.18,680,46,52,327.06,226.67
12544,36,1,372.7,136,19,19,372.7,136.0
12545,75,2,1000.39,523,42,50,500.2,261.5
12546,47,2,1161.5,633,59,69,580.75,316.5
12547,198,2,207.8,134,7,8,103.9,67.0
12548,166,1,95.19999999999999,49,5,5,95.2,49.0
12550,79,1,964.83,569,57,57,964.83,569.0
12551,358,1,168.0,100,10,10,168.0,100.0
12552,39,2,437.82,88,20,20,218.91,44.0
12553,8,10,3692.28,1965,95,191,369.23,196.5
12556,50,2,599.56,355,100,119,299.78,177.5
12557,16,5,11990.960000000001,4384,15,33,2398.19,876.8
12558,8,1,269.96,196,11,11,269.96,196.0
12559,311,2,561.71,283,21,21,280.86,141.5
12560,5,3,2134.01,1110,91,105,711.34,370.0
12561,303,1,238.85,177,16,16,238.85,177.0
12562,8,7,3781.7400000000002,1779,99,168,540.25,254.14
12564,261,1,456.90000000000003,133,21,21,456.9,133.0
12565,289,1,145.92000000000002,80,9,9,145.92,80.0
12566,86,1,351.65,265,19,19,351.65,265.0
12567,23,10,9401.28,4305,323,446,940.13,430.5
12569,2,32,4124.6900000000005,1801,92,188,128.9,56.28
12571,40,2,519.61,523,31,34,259.8,261.5
12572,9,2,1020.4200000000001,452,53,60,510.21,226.0
12573,227,1,160.54000000000002,84,26,28,160.54,84.0
12574,316,1,218.45000000000002,61,11,11,218.45,61.0
12576,36,5,1315.83,967,72,88,263.17,193.4
12577,35,3,626.6,469,137,146,208.87,156.33
12578,21,2,2794.51,1196,111,114,1397.26,598.0
12579,78,1,440.42,285,29,29,440.42,285.0
12580,247,1,415.7,238,24,24,415.7,238.0
12581,40,1,197.71,161,15,15,197.71,161.0
12582,239,2,511.36,300,21,22,255.68,150.0
12583,3,15,7281.38,5060,115,247,485.43,337.33
12584,4,9,2338.15,416,44,96,259.79,46.22
12585,234,2,2040.1,1279,77,87,1020.05,639.5
12586,17,1,196.94000000000003,79,11,11,196.94,79.0
12587,8,1,144.0,51,4,4,144.0,51.0
12588,39,1,214.89999999999998,53,10,10,214.9,53.0
12589,29,2,646.68,306,29,35,323.34,153.0
12590,211,2,9864.26,4283,68,68,4932.13,2141.5
12591,317,1,452.84999999999997,228,26,26,452.85,228.0
12592,92,2,437.6,290,11,18,218.8,145.0
12593,109,3,418.1,206,14,21,139.37,68.67
12594,38,10,3338.2200000000003,1777,50,118,333.82,177.7
12596,51,2,618.27,474,25,27,309.14,237.0
12597,19,4,3811.22,2236,184,206,952.8,559.0
12598,10,8,3023.08,1964,84,132,377.88,245.5
12599,29,7,1032.58,956,32,62,147.51,136.57
12600,29,10,2599.04,774,32,64,259.9,77.4
12601,190,5,577.0600000000001,245,21,28,115.41,49.0
12602,59,1,153.12,162,12,12,153.12,162.0
12603,22,1,739.1999999999999,63,2,2,739.2,63.0
12604,79,2,254.18,201,15,16,127.09,100.5
12607,60,1,1579.51,1228,101,101,1579.51,1228.0
12609,78,3,1126.85,648,57,60,375.62,216.0
12610,23,5,2099.54,1049,85,106,419.91,209.8
12611,52,1,1193.32,846,65,65,1193.32,846.0
12612,74,1,704.04,262,19,19,704.04,262.0
12613,57,5,3344.38,1644,124,153,668.88,328.8
12614,278,1,315.6,76,20,20,315.6,76.0
12615,2,4,2291.19,1376,82,105,572.8,344.0
12616,95,2,713.3,284,25,32,356.65,142.0
12617,29,1,352.98,210,39,41,352.98,210.0
12618,22,1,177.31,96,11,11,177.31,96.0
12619,16,9,3641.24,3378,50,90,404.58,375.33
12620,15,3,1339.41,1181,89,92,446.47,393.67
12621,2,20,13689.67,7440,261,467,684.48,372.0
12622,232,1,180.1,69,11,11,180.1,69.0
12623,276,1,305.1,191,18,18,305.1,191.0
12624,106,2,641.13,355,36,38,320.56,177.5
12625,212,2,2683.82,1612,73,86,1341.91,806.0
12626,23,9,6620.4800000000005,3453,232,294,735.61,383.67
12627,11,7,4478.53,2752,162,230,639.79,393.14
12628,4,3,786.46,448,34,41,262.15,149.33
12630,10,2,1270.88,548,60,64,635.44,274.0
12631,57,1,640.5,236,31,31,640.5,236.0
12633,59,4,2163.98,1162,73,101,541.0,290.5
12635,90,2,1689.18,1172,96,101,844.59,586.0
12637,67,8,6002.9,2994,205,382,750.36,374.25
12638,33,1,671.69,577,39,39,671.69,577.0
12639,239,1,486.1,201,22,22,486.1,201.0
12640,24,3,1174.58,311,47,53,391.53,103.67
12641,115,1,185.9,72,10,10,185.9,72.0
12642,25,3,1013.26,552,39,47,337.75,184.0
12643,128,6,3344.64,1808,11,24,557.44,301.33
12644,130,1,477.90999999999997,325,31,31,477.91,325.0
12645,34,4,1775.18,1084,58,73,443.8,271.0
12646,5,2,1346.97,897,43,45,673.48,448.5
12647,22,12,3722.82,1431,78,121,310.24,119.25
12648,155,1,318.05,160,21,21,318.05,160.0
12649,107,3,623.51,586,28,31,207.84,195.33
12650,3,1,314.44,254,20,20,314.44,254.0
12651,335,1,114.0,78,9,9,114.0,78.0
12652,331,1,919.98,505,48,48,919.98,505.0
12653,149,2,2209.85,919,37,43,1104.92,459.5
12654,11,5,601.98,264,31,38,120.4,52.8
12656,17,5,4051.17,1723,89,126,810.23,344.6
12657,11,4,1643.18,1044,35,47,410.8,261.0
12658,19,1,686.05,320,36,36,686.05,320.0
12659,30,1,91.68,105,5,5,91.68,105.0
12660,11,1,245.10000000000002,127,13,13,245.1,127.0
12662,1,11,3849.78,2058,129,230,349.98,187.09
12664,8,9,4881.88,1203,10,37,542.43,133.67
12665,325,1,63.0,37,3,3,63.0,37.0
12667,58,1,620.13,395,33,33,620.13,395.0
12668,12,4,3807.15,1634,115,161,951.79,408.5
12669,151,3,2744.0299999999997,1115,98,101,914.68,371.67
12670,10,5,2996.05,1397,58,92,599.21,279.4
12672,330,1,225.9,78,10,10,225.9,78.0
12673,5,2,610.52,351,42,42,305.26,175.5
12674,39,4,1970.6,1133,52,83,492.65,283.25
12676,25,6,1331.39,670,33,45,221.9,111.67
12678,42,12,17628.46,10923,105,165,1469.04,910.25
12679,59,4,1113.02,554,43,48,278.26,138.5
12680,1,4,862.81,443,33,52,215.7,110.75
12681,15,22,13787.54,7536,267,638,626.71,342.55
12682,4,31,12279.82,5555,209,524,396.12,179.19
12683,4,15,8476.57,4987,177,344,565.1,332.47
12684,8,7,2283.63,1985,61,105,326.23,283.57
12685,28,6,2863.08,1523,117,157,477.18,253.83
12686,372,1,89.14,107,7,7,89.14,107.0
12688,114,1,4873.81,3028,171,171,4873.81,3028.0
12689,26,2,1247.6100000000001,628,57,72,623.81,314.0
12690,206,1,389.01,106,16,16,389.01,106.0
12691,28,6,1035.8,394,21,32,172.63,65.67
12693,127,4,855.91,255,35,39,213.98,63.75
12694,70,2,869.67,509,32,37,434.84,254.5
12695,7,4,582.1,220,23,27,145.52,55.0
12697,29,3,957.59,508,37,41,319.2,169.33
12700,8,4,4939.99,2967,193,268,1235.0,741.75
12701,80,2,797.71,678,50,53,398.86,339.0
12702,20,1,219.0,53,12,12,219.0,53.0
12703,71,1,283.55,164,21,21,283.55,164.0
12704,7,8,2340.84,1006,64,88,292.6,125.75
12705,15,9,6868.29,3997,228,334,763.14,444.11
12707,292,1,603.42,256,33,33,603.42,256.0
12708,30,10,2712.91,1307,86,157,271.29,130.7
12709,15,15,9706.52,3912,93,207,647.1,260.8
12710,97,3,1149.02,851,75,77,383.01,283.67
12712,29,13,4396.13,1062,58,133,338.16,81.69
12713,1,1,848.55,508,38,38,848.55,508.0
12714,9,5,4708.86,3069,216,259,941.77,613.8
12715,106,1,343.36,192,20,20,343.36,192.0
12716,4,2,1053.49,708,60,69,526.74,354.0
12717,151,2,1030.98,506,49,55,515.49,253.0
12718,71,1,238.25,203,19,19,238.25,203.0
12719,5,2,644.95,374,34,39,322.48,187.0
12720,3,25,5781.7300000000005,4672,211,354,231.27,186.88
12721,32,6,2656.13,1959,133,161,442.69,326.5
12722,85,4,997.63,566,50,53,249.41,141.5
12723,4,5,725.07,434,53,69,145.01,86.8
12724,5,4,1031.41,445,47,53,257.85,111.25
12725,371,1,427.8,164,24,24,427.8,164.0
12726,28,7,2609.1,3143,57,124,372.73,449.0
12727,11,7,3980.7000000000003,2098,109,139,568.67,299.71
12728,71,4,836.33,419,38,46,209.08,104.75
12729,114,1,453.01,233,26,26,453.01,233.0
12731,24,12,18895.91,8437,109,274,1574.66,703.08
12732,180,1,236.26000000000002,111,12,12,236.26,111.0
12733,234,1,383.95,137,22,22,383.95,137.0
12734,353,1,110.39999999999999,88,4,4,110.4,88.0
12735,315,2,779.5699999999999,368,38,43,389.78,184.0
12736,333,1,234.0,173,4,4,234.0,173.0
12738,372,1,155.35,148,11,11,155.35,148.0
12739,78,2,1013.04,486,38,38,506.52,243.0
12740,64,1,427.6,342,27,27,427.6,342.0
12743,134,2,540.13,315,114,131,270.06,157.5
12744,52,7,21279.29,5241,178,222,3039.9,748.71
12747,2,11,4196.01,1275,42,103,381.46,115.91
12748,1,209,33053.19,25287,1768,4412,158.15,120.99
12749,4,5,4090.88,1471,160,199,818.18,294.2
12750,129,1,275.88,137,15,15,275.88,137.0
12752,81,1,4366.78,2262,53,53,4366.78,2262.0
12753,23,6,21429.39,11421,132,197,3571.56,1903.5
12754,236,3,3010.74,6481,49,63,1003.58,2160.33
12755,281,2,3811.9500000000003,1491,4,4,1905.98,745.5
12756,87,1,112.08,144,4,4,112.08,144.0
12757,16,13,7834.650000000001,2395,237,364,602.67,184.23
12758,117,2,2791.59,2135,84,97,1395.8,1067.5
12759,52,3,1531.44,902,81,95,510.48,300.67
12762,8,2,1898.52,1227,62,69,949.26,613.5
12763,138,2,494.08,316,16,18,247.04,158.0
12764,317,1,1693.88,386,45,45,1693.88,386.0
12766,4,7,6989.63,3646,205,310,998.52,520.86
12769,239,1,1143.6,356,32,32,1143.6,356.0
12770,211,1,1351.45,743,12,12,1351.45,743.0
12772,60,1,892.47,556,55,55,892.47,556.0
12775,17,5,1386.04,877,47,66,277.21,175.4
12778,20,6,822.23,825,40,50,137.04,137.5
12779,38,8,3981.36,2024,88,149,497.67,253.0
12781,64,2,826.74,671,25,25,413.37,335.5
12782,5,5,2330.92,1086,81,103,466.18,217.2
12783,2,6,2225.91,624,76,84,370.98,104.0
12784,9,2,532.82,280,54,57,266.41,140.0
12785,364,1,311.95,131,14,14,311.95,131.0
12787,10,3,463.66,261,17,20,154.55,87.0
12789,65,1,91.85,4,4,4,91.85,4.0
12790,192,1,324.92,166,21,21,324.92,166.0
12791,374,1,192.60000000000002,97,2,2,192.6,97.0
12792,257,1,400.54,217,25,25,400.54,217.0
12793,335,2,545.48,295,21,24,272.74,147.5
12794,53,2,860.41,592,43,45,430.2,296.0
12795,19,1,430.48,68,14,14,430.48,68.0
12797,366,1,254.03,118,13,13,254.03,118.0
12798,10,3,6977.04,5256,6,8,2325.68,1752.0
12802,187,1,427.58,314,25,25,427.58,314.0
12808,37,3,483.65000000000003,188,27,28,161.22,62.67
12809,178,1,489.31,220,25,25,489.31,220.0
12811,261,3,514.85,230,27,31,171.62,76.67
12812,45,1,229.64000000000001,164,15,15,229.64,164.0
12814,102,1,125.92,49,2,2,125.92,49.0
12815,148,2,1063.46,379,38,47,531.73,189.5
12816,96,2,572.2,128,27,29,286.1,64.0
12817,281,1,166.04000000000002,53,4,4,166.04,53.0
12818,262,1,1542.08,929,14,14,1542.08,929.0
12820,3,4,942.34,722,55,59,235.58,180.5
12821,214,1,92.72,70,6,6,92.72,70.0
12822,71,2,948.88,550,41,46,474.44,275.0
12823,75,5,1759.5,230,1,5,351.9,46.0
12824,60,1,397.12,232,25,25,397.12,232.0
12826,3,7,1474.72,1058,58,91,210.67,151.14
12827,6,3,430.15,197,19,25,143.38,65.67
12828,3,6,1018.71,494,46,56,169.78,82.33
12829,337,2,293.0,376,9,11,146.5,188.0
12830,38,6,6814.64,9848,13,38,1135.77,1641.33
12831,262,1,215.05,135,9,9,215.05,135.0
12832,32,2,383.03000000000003,195,27,27,191.52,97.5
12833,145,1,417.38,156,24,24,417.38,156.0
12834,283,1,312.38,110,18,18,312.38,110.0
12836,59,4,2610.36,1062,148,174,652.59,265.5
12837,173,1,134.1,24,12,12,134.1,24.0
12838,34,2,671.95,355,115,120,335.98,177.5
12839,3,14,5591.42,3807,95,314,399.39,271.93
12840,144,4,2726.77,1511,67,113,681.69,377.75
12841,5,25,3991.58,2720,229,414,159.66,108.8
12842,70,2,1118.99,547,34,34,559.5,273.5
12843,66,8,1702.26,781,69,103,212.78,97.62
12844,29,2,325.96000000000004,125,47,52,162.98,62.5
12845,267,4,354.09000000000003,204,26,27,88.52,51.0
12847,22,1,843.64,873,72,84,843.64,873.0
12849,31,2,1010.29,597,47,48,505.14,298.5
12851,97,1,131.81,106,43,47,131.81,106.0
12852,295,1,311.55,149,17,17,311.55,149.0
12853,135,6,1957.1000000000001,800,66,78,326.18,133.33
12854,79,3,1316.25,626,95,109,438.75,208.67
12855,373,1,38.1,30,3,3,38.1,30.0
12856,8,6,2170.78,1076,155,311,361.8,179.33
12857,211,2,1106.4,343,37,46,553.2,171.5
12863,52,1,521.2,188,5,5,521.2,188.0
12864,138,1,147.12,216,3,3,147.12,216.0
12865,26,2,1568.23,925,86,95,784.12,462.5
12866,283,1,559.12,171,26,26,559.12,171.0
12867,26,7,4009.34,4284,240,534,572.76,612.0
12868,186,6,1607.0600000000002,928,72,107,267.84,154.67
12871,84,2,380.64,200,8,11,190.32,100.0
12872,327,2,599.97,319,58,66,299.98,159.5
12873,282,1,374.0,128,4,4,374.0,128.0
12875,143,2,343.2300000000001,2019,1,2,171.62,1009.5
12876,58,2,2218.02,1941,67,85,1109.01,970.5
12877,4,12,1535.77,1178,100,154,127.98,98.17
12878,236,2,854.99,547,38,47,427.5,273.5
12879,45,3,573.22,370,7,10,191.07,123.33
12881,276,1,298.0,21,7,7,298.0,21.0
12882,9,2,1463.04,246,12,13,731.52,123.0
12883,25,4,703.47,196,39,42,175.87,49.0
12884,88,1,309.05,43,7,7,309.05,43.0
12885,63,3,1175.22,655,66,71,391.74,218.33
12886,68,2,1378.4,770,75,82,689.2,385.0
12888,214,2,354.12,76,4,5,177.06,38.0
12890,24,1,376.71999999999997,256,78,79,376.72,256.0
12891,186,3,331.0,950,2,3,110.33,316.67
12893,31,1,176.55,90,27,31,176.55,90.0
12895,42,2,372.8,210,22,22,186.4,105.0
12897,205,2,216.5,110,3,4,108.25,55.0
12901,9,28,17654.54,23075,30,116,630.52,824.11
12902,265,1,138.68,66,10,10,138.68,66.0
12904,18,2,496.06,294,59,71,248.03,147.0
12906,12,5,2919.81,1749,55,63,583.96,349.8
12908,176,2,750.0,1200,1,2,375.0,600.0
12909,40,5,2178.67,1280,78,91,435.73,256.0
12910,23,8,3075.04,1692,48,75,384.38,211.5
12912,3,5,1662.3,670,17,24,332.46,134.0
12913,5,5,2483.63,1419,37,50,496.73,283.8
12915,149,2,363.65,93,19,22,181.82,46.5
12916,139,4,2944.95,1083,53,103,736.24,270.75
12917,128,1,594.0,120,2,2,594.0,120.0
12919,8,6,1335.19,673,34,50,222.53,112.17
12920,17,1,162.78,128,27,27,162.78,128.0
12921,9,37,16587.09,9526,233,720,448.3,257.46
12922,161,1,405.38,370,28,28,405.38,370.0
12923,64,1,172.82,68,28,28,172.82,68.0
12924,88,4,933.7,481,22,30,233.42,120.25
12925,5,2,694.05,541,42,45,347.02,270.5
12928,35,5,2062.7,1472,59,84,412.54,294.4
12929,312,1,117.85,37,8,8,117.85,37.0
12930,78,2,415.8,252,20,25,207.9,126.0
12931,22,15,42055.96,28004,28,82,2803.73,1866.93
12933,24,3,607.53,499,102,106,202.51,166.33
12935,2,7,2160.7,1853,80,129,308.67,264.71
12936,17,4,1063.9,559,56,62,265.98,139.75
12937,15,4,1504.27,1007,81,120,376.07,251.75
12938,26,1,114.14,140,9,9,114.14,140.0
12939,64,8,11581.8,4876,21,47,1447.72,609.5
12940,55,2,899.69,404,87,96,449.84,202.0
12942,131,3,675.6,198,68,70,225.2,66.0
12944,36,2,604.51,289,29,30,302.26,144.5
12945,288,1,462.95,165,23,23,462.95,165.0
12947,144,6,1603.99,1165,83,97,267.33,194.17
12948,16,7,2064.95,1080,82,116,294.99,154.29
12949,31,8,4167.22,2381,166,215,520.9,297.62
12950,2,3,1843.0,1380,13,23,614.33,460.0
12951,9,6,1064.07,503,53,63,177.34,83.83
12952,6,4,1387.79,653,64,79,346.95,163.25
12953,10,1,329.85,84,17,17,329.85,84.0
12955,1,11,4757.16,3664,81,180,432.47,333.09
12956,306,1,108.07,34,19,19,108.07,34.0
12957,10,8,4017.54,2549,208,238,502.19,318.62
12962,7,2,266.39,129,15,16,133.2,64.5
12963,8,8,1856.63,881,75,95,232.08,110.12
12965,89,1,769.8100000000001,282,108,108,769.81,282.0
12966,10,1,160.18,75,10,10,160.18,75.0
12967,358,2,1660.9,438,19,19,830.45,219.0
12968,112,1,135.95,73,5,5,135.95,73.0
12970,7,4,405.47,268,116,129,101.37,67.0
12971,4,86,11189.91,9289,94,305,130.12,108.01
12974,198,1,144.8,24,8,8,144.8,24.0
12976,212,1,738.6,561,22,22,738.6,561.0
12977,156,1,39.239999999999995,12,9,9,39.24,12.0
12980,158,9,7374.900000000001,886,6,20,819.43,98.44
12981,30,2,372.21999999999997,242,12,20,186.11,121.0
12982,243,1,390.54,288,28,28,390.54,288.0
12984,19,1,97.5,26,4,4,97.5,26.0
12985,1,2,1239.38,1533,73,76,619.69,766.5
12987,74,2,558.7,219,27,28,279.35,109.5
12988,292,1,505.82,126,75,83,505.82,126.0
12989,3,15,6924.11,2943,41,64,461.61,196.2
12990,31,3,409.5,200,8,13,136.5,66.67
12991,23,2,503.76,405,31,31,251.88,202.5
12993,23,4,414.76,240,26,27,103.69,60.0
12994,4,3,974.42,459,52,61,324.81,153.0
12995,85,1,211.32,108,3,3,211.32,108.0
12997,22,4,1226.89,664,45,59,306.72,166.0
12999,196,3,455.88,342,25,28,151.96,114.0
13000,107,3,534.85,379,30,31,178.28,126.33
13001,4,13,9785.970000000001,5490,166,337,752.77,422.31
13002,318,1,120.95,73,7,7,120.95,73.0
13003,106,3,149.05,103,4,6,49.68,34.33
13004,12,18,5655.91,4822,277,404,314.22,267.89
13005,174,2,513.7,172,21,26,256.85,86.0
13006,56,1,81.57,55,4,4,81.57,55.0
13008,323,1,229.47,175,14,14,229.47,175.0
13011,372,1,50.550000000000004,13,3,3,50.55,13.0
13012,9,8,1646.8400000000001,820,67,88,205.86,102.5
13013,1,13,4810.9400000000005,2224,155,219,370.07,171.08
13014,11,10,3466.28,905,67,109,346.63,90.5
13015,53,5,3339.64,1609,156,175,667.93,321.8
13016,73,3,789.89,527,39,47,263.3,175.67
13017,7,1,204.0,48,1,1,204.0,48.0
13018,16,28,7277.7,5435,313,458,259.92,194.11
13021,4,9,2616.38,1352,101,131,290.71,150.22
13023,64,2,689.9,286,36,40,344.95,143.0
13026,1,5,975.36,1620,32,40,195.07,324.0
13027,114,6,6912.0,17280,6,26,1152.0,2880.0
13028,23,2,661.3199999999999,798,40,45,330.66,399.0
13029,31,3,1247.5,134,8,10,415.83,44.67
13030,11,2,752.44,348,76,92,376.22,174.0
